ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,2,54,16374,16404,32,607.2,550.1,370.3,546.3,299.26,152.52,FALSE,LEFT,4.86,RIGHT,Visual foraging,500.9,504.70000000000005,1,flower.jpg,Search
cass1,2,55,16710,16728,20,386.4,552.3,325.4,561.8,93.71,58.78,FALSE,LEFT,1.26,RIGHT,Visual foraging,498.70000000000005,489.20000000000005,1,flower.jpg,Search
cass1,2,56,16824,16874,52,340.3,551.8,696.6,322.7,554.51,207.73,FALSE,RIGHT,9.41,RIGHT,Visual foraging,499.20000000000005,728.3,1,flower.jpg,Search
cass1,2,57,17144,17160,18,722.6,318.9,727.5,365,99.22,65.07,FALSE,DOWN,1.21,RIGHT,Visual foraging,732.1,686,1,flower.jpg,Search
cass1,2,58,17458,17504,48,734.5,385.8,1089.9,435.8,445.22,181.92,FALSE,RIGHT,7.59,RIGHT,Visual foraging,665.2,615.2,1,flower.jpg,Search
cass1,2,59,17830,17868,40,1097.9,453.3,1149.7,267.6,275.21,131.91,FALSE,UP,4.93,RIGHT,Visual foraging,597.7,783.4,1,flower.jpg,Search
cass1,2,60,18154,18186,34,1139.9,269.7,1226.5,440.7,331.85,155.77,FALSE,DOWN,4.78,RIGHT,Visual foraging,781.3,610.3,1,flower.jpg,Search
cass1,2,61,18346,18390,46,1228.6,445.6,987,272.2,349.17,162.01,FALSE,LEFT,6.77,RIGHT,Visual foraging,605.4,778.8,1,flower.jpg,Search
cass1,2,62,18722,18740,20,963.4,268.4,999.8,273.4,70.82,39.94,FALSE,RIGHT,0.78,RIGHT,Visual foraging,782.6,777.6,1,flower.jpg,Search
cass1,2,63,19008,19044,38,996,268.3,821.3,340,318.09,131.37,FALSE,LEFT,4.16,RIGHT,Visual foraging,782.7,711,1,flower.jpg,Search
cass1,2,64,19318,19364,48,809.5,338.2,1111.4,705.9,575.24,250.86,FALSE,DOWN,11.19,RIGHT,Visual foraging,712.8,345.1,1,flower.jpg,Search
cass1,2,65,19746,19774,30,1120.5,718.3,941,850,313.71,158.53,FALSE,LEFT,4.79,RIGHT,Visual foraging,332.70000000000005,201,1,flower.jpg,Search
cass1,2,66,20000,20184,186,923.4,866,879.9,901.4,1182.89,306.88,TRUE,LEFT,1.2,RIGHT,Visual foraging,185,149.60000000000002,1,flower.jpg,Search
cass1,2,67,20504,20524,22,892.8,896.7,929.1,876.6,78.46,46.32,FALSE,RIGHT,0.86,RIGHT,Visual foraging,154.29999999999995,174.39999999999998,1,flower.jpg,Search
cass1,2,68,20672,20698,28,928.5,881.3,726.3,926.4,267.53,147.1,FALSE,LEFT,4.16,RIGHT,Visual foraging,169.70000000000005,124.60000000000002,1,flower.jpg,Search
cass1,2,69,20956,20984,30,714.2,930.4,638.7,795,210.34,115.05,FALSE,UP,3.5,RIGHT,Visual foraging,120.60000000000002,256,1,flower.jpg,Search
cass1,3,1,186,214,30,641.9,804.3,455.5,763.1,242.21,127.71,FALSE,LEFT,3.87,RIGHT,Visual foraging,246.70000000000005,287.9,1,fjord.jpg,Search
cass1,3,2,440,490,52,450.6,767.9,891.5,769.4,481.3,199.37,FALSE,RIGHT,8.88,RIGHT,Visual foraging,283.1,281.6,1,fjord.jpg,Search
cass1,3,3,960,998,40,907,761,1082,923.9,347.65,144.85,FALSE,DOWN,5.19,RIGHT,Visual foraging,290,127.10000000000002,1,fjord.jpg,Search
cass1,3,4,1172,1212,42,1088.8,937.9,749.4,722.6,356.55,205.62,FALSE,LEFT,8.48,RIGHT,Visual foraging,113.10000000000002,328.4,1,fjord.jpg,Search
